date,city,weekdays,high_temp,low_temp,weather,w_direct,w_force
2012/9/13,北京,星期四,25,14,晴~多云,北风,3-4级
2012/9/14,北京,星期五,25,11,阴~晴,微风,小于3级
2012/9/15,北京,星期六,26,12,晴,微风,小于3级
2012/9/16,北京,星期日,27,13,晴,微风,小于3级
2012/9/17,北京,星期一,28,15,晴,微风,小于3级
2012/9/18,北京,星期二,29,15,晴,微风,小于3级
2012/9/19,北京,星期三,28,14,晴~多云,微风,小于3级
2012/9/20,北京,星期四,29,15,晴,微风,小于3级
2012/9/21,北京,星期五,25,18,多云~阵雨,微风,小于3级
2012/9/22,北京,星期六,26,16,阵雨~晴,微风,小于3级
2012/9/23,北京,星期日,28,16,晴,微风,小于3级
2012/9/24,北京,星期一,26,16,晴~多云,微风,小于3级
2012/9/25,北京,星期二,22,17,阴~阵雨,微风,小于3级
2012/9/26,北京,星期三,26,14,小雨~多云,微风,小于3级
2012/9/27,北京,星期四,23,15,阴~阵雨,微风~北风,小于3级~5-6级
2012/9/28,北京,星期五,22,12,晴,北风,5-6级
2012/9/29,北京,星期六,25,11,晴,北风~微风,3-4级~小于3级
2012/9/30,北京,星期日,25,10,晴,微风,小于3级
2012/10/1,北京,星期一,27,11,晴,微风,小于3级
2012/10/2,北京,星期二,25,12,晴~阴,微风,小于3级
2012/10/3,北京,星期三,26,15,阴~晴,微风,小于3级
2012/10/4,北京,星期四,24,13,晴,微风,小于3级
2012/10/5,北京,星期五,23,14,小雨~阴,微风,小于3级
2012/10/6,北京,星期六,25,10,晴,微风,小于3级
2012/10/7,北京,星期日,25,11,晴,微风,小于3级
2012/10/8,北京,星期一,25,12,晴~阴,微风,小于3级
2012/10/9,北京,星期二,23,13,阵雨~晴,微风~北风,小于3级~3-4级
2012/10/10,北京,星期三,22,10,晴,西北风~微风,3-4级~小于3级
2012/10/11,北京,星期四,22,8,晴~多云,微风,小于3级
2012/10/12,北京,星期五,24,10,晴,微风,小于3级
2012/10/13,北京,星期六,20,12,晴,北风,3-4级
2012/10/14,北京,星期日,18,7,晴,微风,小于3级
2012/10/15,北京,星期一,17,8,多云~阵雨,微风,小于3级
2012/10/16,北京,星期二,17,10,中雨~小雨,微风~北风,小于3级~5-6级
2012/10/17,北京,星期三,18,5,晴,北风,5-6级~3-4级
2012/10/18,北京,星期四,20,4,晴,微风,小于3级
2012/10/19,北京,星期五,20,7,多云,微风,小于3级
2012/10/20,北京,星期六,21,9,晴~多云,微风,小于3级
2012/10/21,北京,星期日,12,9,阴~中雨,微风,小于3级
2012/10/22,北京,星期一,18,8,阴~晴,北风,4-5级
2012/10/23,北京,星期二,21,3,晴,微风,小于3级
2012/10/24,北京,星期三,22,6,晴,微风,小于3级
2012/10/25,北京,星期四,21,7,晴,微风,小于3级
2012/10/26,北京,星期五,18,9,多云~阴,微风,小于3级
2012/10/27,北京,星期六,22,11,阴~晴,微风~北风,小于3级~4-5级
2012/10/28,北京,星期日,16,6,晴~多云,微风,小于3级
2012/10/29,北京,星期一,15,6,阴,微风~北风,小于3级~3-4级
2012/10/30,北京,星期二,13,2,晴~多云,北风~微风,3-4级~小于3级
